iso3,iso3,country,disaggregation,disagg.value,region,subregion,section,environmental_impacts_land_use,environmental_impacts_freshwater_use,environmental_impacts_ghg_emissions_lifecycle,environmental_impacts_nitrogen_application,environmental_impacts_phosphorus_application,planetary_impacts_Cropland,planetary_impacts_Freshwater,planetary_impacts_Greenhouse gases,planetary_impacts_Nitrogen,planetary_impacts_Phosphorus
AUT,AUT,Austria,food.group,milk,Europe,Western Europe,Environmental Impacts,4.81166,0.0260455,5.43094,11.2524,2.41364,32.3652,10.0511,74.5121,23.7778,26.0323
AUT,AUT,Austria,food.group,nuts_seeds,Europe,Western Europe,Environmental Impacts,0.400732,0.0269083,0.0517095,2.12529,0.289114,4.79671,2.56344,0.884559,2.24922,1.82435
AUT,AUT,Austria,food.group,oils,Europe,Western Europe,Environmental Impacts,1.80463,0.0290354,0.628868,9.90773,1.62489,17.2965,5.19928,2.62525,10.0097,13.876
AUT,AUT,Austria,food.group,pork_poultry,Europe,Western Europe,Environmental Impacts,6.17443,0.0397053,4.01818,32.29506,4.09847,56.5378,13.47156,57.96243,50.4748,39.9812
AUT,AUT,Austria,food.group,roots,Europe,Western Europe,Environmental Impacts,0.503272,0.00262771,0.254261,1.81855,0.368417,3.29235,2.99193,0.920433,3.70588,3.76866
AUT,AUT,Austria,food.group,sugar,Europe,Western Europe,Environmental Impacts,0.41923,0.522432,0.532527,3.17833,0.591487,7.80604,39.9829,1.85658,20.605,16.0118
AZE,AZE,Azerbaijan,food.group,beef_lamb,Asia,Western Asia,Environmental Impacts,31.40608,0.2136933,6.96625,4.44551,0.81463,10.1097,3.77179,247.9064,8.85881,7.80411
AZE,AZE,Azerbaijan,food.group,eggs,Asia,Western Asia,Environmental Impacts,0.660367,0.134547,0.442514,2.81286,0.419762,6.80557,2.67704,2.68456,6.27467,4.85481
AZE,AZE,Azerbaijan,food.group,fish,Asia,Western Asia,Environmental Impacts,0.043712,0.00172811,0.108033,0.0609333,0.0124136,0.112557,0.0533148,0.0164012,0.150765,0.159646
AZE,AZE,Azerbaijan,food.group,fruit_veg,Asia,Western Asia,Environmental Impacts,1.58436,1.56571,2.07732,15.1195,2.66585,20.6479,29.4908,4.58721,36.6211,29.0014
AZE,AZE,Azerbaijan,food.group,grains,Asia,Western Asia,Environmental Impacts,6.29583,1.41645,3.56632,42.3085,6.01934,60.894,64.711,8.95094,105.435,79.4244
AZE,AZE,Azerbaijan,food.group,legumes,Asia,Western Asia,Environmental Impacts,0.101404,0.00453,0.0126559,,,0.534961,0.329219,0.0421065,,
AZE,AZE,Azerbaijan,food.group,milk,Asia,Western Asia,Environmental Impacts,10.1693,0.221938,4.71561,4.02329,0.821078,25.5479,7.93394,58.817,18.7693,20.5489
AZE,AZE,Azerbaijan,food.group,nuts_seeds,Asia,Western Asia,Environmental Impacts,0.313038,0.026202,0.065341,0.261192,0.0372137,2.67369,1.42886,0.493053,1.25371,1.01689
AZE,AZE,Azerbaijan,food.group,oils,Asia,Western Asia,Environmental Impacts,1.17894,0.11977,0.277016,0.708613,0.47525,5.75662,1.72962,0.877138,3.33373,4.61888
AZE,AZE,Azerbaijan,food.group,pork_poultry,Asia,Western Asia,Environmental Impacts,5.6769092,0.15568542,1.1717243,0.327145,1.2182919,11.670115,4.2236025,5.291471,11.328365,9.227718
AZE,AZE,Azerbaijan,food.group,roots,Asia,Western Asia,Environmental Impacts,0.53829,0.386677,0.314864,0.563006,0.0787175,4.18717,3.8051,1.1706,4.71309,4.79294
AZE,AZE,Azerbaijan,food.group,sugar,Asia,Western Asia,Environmental Impacts,1.10232,0.378077,0.762644,7.14562,1.19908,7.57179,38.783,1.80087,19.9866,15.5313
BEL,BEL,Belgium,food.group,beef_lamb,Europe,Western Europe,Environmental Impacts,18.67037,0.0294763,6.11725,4.918977,0.954482,7.04927,2.485165,202.6901,6.27583,5.6139
BEL,BEL,Belgium,food.group,eggs,Europe,Western Europe,Environmental Impacts,0.61828,0.0165903,0.460559,3.9642,0.626938,6.0662,2.3862,2.3929,5.59298,4.32737
BEL,BEL,Belgium,food.group,fish,Europe,Western Europe,Environmental Impacts,0.0166209,0.00449219,0.993036,0.855617,0.18928,1.2473,0.601589,0.184729,1.64749,1.75878
BEL,BEL,Belgium,food.group,fruit_veg,Europe,Western Europe,Environmental Impacts,1.91868,0.255555,2.14273,15.5884,2.84049,20.1859,35.4322,4.46166,36.0156,27.8698
BEL,BEL,Belgium,food.group,grains,Europe,Western Europe,Environmental Impacts,5.48473,0.0665118,2.60643,31.2493,3.66228,35.8635,37.9345,5.22551,60.8837,45.9369
BEL,BEL,Belgium,food.group,legumes,Europe,Western Europe,Environmental Impacts,0.352899,0.0113342,0.0657867,0.0256379,0.0850171,2.5254,1.52204,0.197301,0.0239291,0.115277
BEL,BEL,Belgium,food.group,milk,Europe,Western Europe,Environmental Impacts,2.21943,0.0590576,2.75981,9.91147,3.11264,17.8283,5.53661,41.0448,13.098,14.3398
BEL,BEL,Belgium,food.group,nuts_seeds,Europe,Western Europe,Environmental Impacts,0.584227,0.0118844,0.203341,8.48349,1.2087,2.30216,1.23031,0.424539,1.0795,0.875589
BEL,BEL,Belgium,food.group,oils,Europe,Western Europe,Environmental Impacts,1.91902,0.020486,0.778713,7.60737,1.51329,12.5247,3.76488,1.90099,7.24818,10.0478
BEL,BEL,Belgium,food.group,pork_poultry,Europe,Western Europe,Environmental Impacts,7.87593,0.4112479,3.80283,15.1971,3.97851,35.40335,8.42414,36.34901,31.59939,25.02798
BEL,BEL,Belgium,food.group,roots,Europe,Western Europe,Environmental Impacts,1.04454,0.0829241,0.494898,3.69201,0.747344,4.95004,4.49837,1.38387,5.57179,5.66618
BEL,BEL,Belgium,food.group,sugar,Europe,Western Europe,Environmental Impacts,0.775706,0.964744,0.989432,6.15569,1.14558,10.5446,54.0097,2.50791,27.8336,21.6291
BEN,BEN,Benin,food.group,beef_lamb,Africa,Western Africa,Environmental Impacts,10.93499,0.003137253,3.59802,1.432972,0.2488094,2.50407,0.916488,65.0604,2.20635,1.95412
BEN,BEN,Benin,food.group,eggs,Africa,Western Africa,Environmental Impacts,0.129829,0.00411392,0.0965298,1.28991,0.192677,0.814988,0.320584,0.321484,0.751411,0.581379
